Üniversite Kütüphanesi Chatbot'una Sorulabilecek Sorular,Cevap,,,,,,,,,,,,,,,,,,,,,,,,
39. Araştırma verilerimi yönetmek için en iyi pratikler nelerdir?,"Araştırma verilerinizi etkili bir şekilde yönetmek, araştırma sürecinizin başarısı için kritik öneme sahiptir. İşte araştırma verilerinizi yönetmek için en iyi pratikler:

1. Veri Planlaması
Veri Yönetim Planı (DMP): Araştırmanızın başında bir veri yönetim planı oluşturun. Bu plan, verilerin nasıl toplanacağı, saklanacağı, analiz edileceği ve paylaşılacağı hakkında detaylar içermelidir.
2. Veri Toplama
Standartlaştırma: Verilerinizi toplarken standart yöntemler kullanın. Bu, verilerin tutarlılığını ve kalitesini artırır.
Dokümantasyon: Topladığınız verileri detaylı bir şekilde belgeleyin. Bu, verilerinizi daha sonra anlamanızı ve başkalarıyla paylaşmanızı kolaylaştırır.
3. Veri Saklama
Güvenli Saklama: Verilerinizi güvenli bir şekilde saklayın. Şifreleme ve yedekleme gibi yöntemlerle veri güvenliğini sağlayın.
Organizasyon: Verilerinizi düzenli bir şekilde organize edin. Dosya isimlendirme kuralları ve klasör yapıları kullanarak verilerinizi kolayca erişilebilir hale getirin.
4. Veri Analizi
Yazılım ve Araçlar: Verilerinizi analiz etmek için uygun yazılım ve araçları kullanın. Bu araçlar, verilerinizi daha etkili bir şekilde işlemeye yardımcı olabilir.
5. Veri Paylaşımı
Açık Erişim: Mümkünse verilerinizi açık erişim platformlarında paylaşın. Bu, araştırmanızın görünürlüğünü artırabilir ve diğer araştırmacılarla işbirliği yapmanıza olanak tanır.
Lisanslama: Verilerinizi paylaşırken uygun lisanslama yöntemlerini kullanarak telif haklarını koruyun.
6. Veri Arşivleme
Uzun Vadeli Saklama: Araştırmanız tamamlandıktan sonra verilerinizi uzun vadeli saklama çözümleri kullanarak arşivleyin. Bu, gelecekteki araştırmalar için veri erişimini sağlar.
Bu pratikler, araştırma verilerinizi etkili bir şekilde yönetmenize yardımcı olabilir. Eğer daha fazla bilgi veya rehberlik isterseniz, kütüphane personelinden veya veri yönetimi uzmanlarından destek alabilirsiniz. 😊 Araştırma verilerinizi aşağıda bilgisini verdiğimiz. İTÜ Akademik Açık Arşivinde saklayabilirsiniz:  Üniversitemizin akademik ve idari personeli, öğrencileri, tarafından bilimsel dergilerde yayınlanmış makaleler, araştırma projeleri, konferans metinleri, raporlar, ders notları ve İTÜ' nün tüm enstitülerinde üretilmiş yüksek lisans ve doktora tezleri İTÜ Akademik Açık Arşivinde (İTÜ AAA)  yazar/eser sahiplerinin izinleri dahilinde  yer alması ve sınırsız erişime sunulması amaçlanmaktadır.

Sisteme öncelikle Fen Bilimleri Enstitüsünün 1992-2014 yılları arasındaki yüksek lisans ve doktora tezleri yüklenmiştir. Diğer enstitülerin tezleri yüklenmeye devam etmektedir..

2014-2018 yılları arasındaki yazar isteği üzerine erişime kapalı olan tezlerin PDF dosyaları sisteme yüklenmemiştir.İlgili tezlerin kütüphanedeki basılı kopyasına erişim mümkün olmamaktadır.

Açık arşivide bulunan çalışmalardan yararlanıldığında, kullanan kişinin kaynak göstermesi bilimsel etik açısından gerekli ve zorunludur. Kaynak gösterilmesinde kullanılan çalışmanın adı ve yazarıyla birlikte açık arşivin URL adresi verilecektir.",,,,,,,,,,,,,,,,,,,,,,,,
40. Bilimsel bir dergide yayın yapma süreci hakkında bilgi verebilir misiniz?,"Elbette, bilimsel bir dergide yayın yapma süreci genellikle aşağıdaki adımları içerir:

1. Araştırma ve Hazırlık
Araştırma Yapma: İlk adım, araştırma konusunu belirlemek ve gerekli verileri toplamak.
Makale Yazımı: Araştırma sonuçlarını ve bulguları düzenli bir şekilde makale formatında yazmak.
2. Dergi Seçimi
Uygun Dergi Bulma: Araştırmanızın konusuna uygun bir dergi seçmek önemlidir. Derginin hedef kitlesi, etki faktörü ve yayın politikaları göz önünde bulundurulmalıdır.
3. Makale Gönderimi
Başvuru Süreci: Makalenizi derginin belirlediği formatta hazırlayıp, genellikle çevrimiçi bir sistem üzerinden gönderirsiniz.
Kurumsal E-posta Kullanımı: Özellikle açık erişim başvurularında, kurumsal e-posta adresi kullanmak doğrulama sürecini kolaylaştırır.
4. Hakem Değerlendirmesi
Hakem Görüşleri: Makaleniz, alanında uzman hakemler tarafından değerlendirilir. Bu süreçte düzeltme talepleri gelebilir.
Revizyonlar: Hakemlerin önerileri doğrultusunda makalenizde gerekli düzenlemeleri yapmanız gerekebilir.
5. Yayın Kararı
Kabul veya Red: Revizyonlardan sonra makaleniz kabul edilebilir veya reddedilebilir.
Yayın Ücreti: Açık erişim dergilerde makale işlem ücretini yazar veya fon sağlayıcısı ödemek durumundadır.
6. Yayınlanma
Son Düzenlemeler: Kabul edilen makale son düzenlemelerden geçer ve dergide yayınlanır.
Açık Erişim: Makaleniz açık erişim olarak yayınlanırsa, herkes tarafından ücretsiz erişilebilir olur.
Bu süreç, dergiden dergiye değişiklik gösterebilir, ancak genel olarak bu adımlar takip edilir. Eğer daha spesifik bir bilgiye ihtiyacınız varsa, ilgili derginin web sitesinden detaylı bilgi alabilirsiniz. 😊",,,,,,,,,,,,,,,,,,,,,,,,
41. Bir makalenin etki faktörünü (impact factor) nasıl öğrenirim?,"Elbette, Scopus veritabanı üzerinden bir makalenin etkisini değerlendirme adımlarını aşağıda bulabilirsiniz:

Kurumunuzun (İstanbul Teknik Üniversitesi) kütüphane web sayfasından ""Veritabanları"" bölümüne gidiniz.

Listeden Scopus veritabanını bularak giriş yapınız.

Etkisini öğrenmek istediğiniz makaleyi başlığı, yazarı veya DOI numarası ile aratınız.

Arama sonuçlarından ilgili makalenin başlığına tıklayarak detay sayfasına ulaşınız.

Makale başlığının hemen altında veya sayfanın metrikler bölümünde yer alan ""Field-Weighted Citation Impact"" (FWCI) değerine bakarak makalenin kendi alanındaki göreceli atıf etkisini görebilirsiniz.",,,,,,,,,,,,,,,,,,,,,,,,
42. H-indeksi en yüksek akademisyenleri nasıl bulabilirim?,"Bu yöntem, belirli bir konu üzerinde çalışan ve en yüksek etki skoruna (H-indeksi) sahip olan araştırmacıları sistematik olarak belirlemenizi sağlar.

Adım 1: Scopus Veritabanına Erişin
Kurumunuzun (İstanbul Teknik Üniversitesi) kütüphane web sayfasından ""Veritabanları"" bölümüne gidin ve listeden Scopus'u bularak giriş yapın.

Adım 2: Yazar Arama (Author Search) Sekmesini Kullanın
Scopus ana sayfasında, arama kutularının üzerindeki sekmelerden ""Authors"" (Yazarlar) sekmesine tıklayın. Bu bölüm, doğrudan araştırmacıları hedef alan bir arama yapmanızı sağlar.

Adım 3: Arama Sonuçlarını Konu Alanına Göre Filtreleyin

Herhangi bir yazar ismi girmeden doğrudan ""Search"" (Ara) butonuna basın. Bu, Scopus'taki tüm yazarları içeren genel bir liste getirecektir.

Arama sonuçları sayfasının sol tarafında yer alan ""Refine Results"" (Sonuçları Daralt) panelini kullanın.

Bu panelden ""Subject Area"" (Konu Alanı) filtresini bulun ve ilgilendiğiniz alanı (örn. ""Computer Science"", ""Engineering"", ""Medicine"") seçerek listeyi daraltın.

Adım 4: H-İndeksine Göre Sıralayın
Bu en önemli adımdır. Arama sonuçları listesinin sağ üst köşesinde bulunan ""Sort by"" (Sıralama Ölçütü) menüsüne tıklayın. Varsayılan olarak bu seçenek ""Document count"" (Yayın Sayısı) olabilir. Menüyü açın ve ""h-index"" seçeneğini işaretleyin.

Sonuç:
Bu adımları tamamladığınızda, seçtiğiniz bilimsel alanda çalışan ve en yüksek H-indeksine sahip olan akademisyenler en üstte görünecek şekilde sıralanmış bir liste elde edeceksiniz.

Profesyonel İpucu: Daha Niş Konular İçin Alternatif Yöntem
Eğer ""Makine Öğrenmesi"" gibi daha spesifik bir anahtar kelime ile arama yapmak isterseniz, aşağıdaki alternatif yöntemi kullanabilirsiniz:

Scopus'ta bu defa ""Documents"" (Belgeler) sekmesinde kalın.

Arama kutusuna anahtar kelimenizi (örn. ""Large Language Models"" veya ""Semantic Search"") yazarak arama yapın.

Sonuç sayfasında, sol paneldeki ""Author name"" (Yazar Adı) filtresinin altındaki ""View all"" (Tümünü Gör) linkine tıklayın.

Açılan pencere, bu anahtar kelime ile en çok yayın yapan yazarları listeleyecektir. Bu liste, ilgilendiğiniz niş alandaki en aktif ve potansiyel olarak en etkili isimleri bulmak için harika bir başlangıç noktasıdır.

Bu yöntemler, potansiyel iş birlikleri kurmak, literatür taramasında alanın öncülerini belirlemek veya bir konudaki kilit uzmanları takip etmek için son derece değerlidir.

Umarım bu detaylı anlatım yardımcı olmuştur. Başka bir sorunuz olursa memnuniyetle cevaplarım.",,,,,,,,,,,,,,,,,,,,,,,,
43. Belirli bir araştırma konusuyla ilgili en son yayınları bana listeleyebilir misin?,"Üzgünüm, belirli bir araştırma konusuyla ilgili en son yayınları doğrudan listeleyemem. Ancak, İTÜ Kütüphanesi web sitesi anasayfasında araştırdığınız konuyu ""Tarıyorum"" arama motoruna girerek ya da o konu ile ilgili veri tabanlarını kullanarak en güncel akademik yayınlara erişebilirsiniz. ",,,,,,,,,,,,,,,,,,,,,,,,
"44. [Herhangi bir] veritabanında ""yapay sinir ağları"" üzerine son bir yılda yazılmış makaleleri bul.","Doğrudan bu https://kutuphane.itu.edu.tr/arastirma/veritabanlari linkten veritabanlarına ulaşıp, bu veritabanları içerisinden [Herhangi bir] veritabanına ulaşabilirsiniz. İlgili veritabanına kampüs içi veya mevcutsa kampüs dışı bağlantısından erişebilirsiniz.",,,,,,,,,,,,,,,,,,,,,,,,
45. Kütüphanenin [herhangi bir konudaki] verilerine API üzerinden erişebilir miyim?,Henüz böyle bir servis sunulmamaktadır.,,,,,,,,,,,,,,,,,,,,,,,,
46. Patent ve standartlara nasıl erişim sağlayabilirim?,Kütüphanenin veritabanları sayfasını ziyaret edebilirsiniz: https://kutuphane.itu.edu.tr/arastirma/veritabanlari Sol tarafta bulunan yayın türü bölümünde filtreleme yaparak ilgili veritabanlarını bulabilirsiniz.,,,,,,,,,,,,,,,,,,,,,,,,
47. Açık erişim (Open Access) yayınlar hakkında bilgi verir misin?,"Açık erişim, bilimsel literatürün internet aracıyla finansal, yasal ve teknik bariyerler olmaksızın, erişilebilir, okunabilir, kaydedilebilir, kopyalanabilir, yazdırılabilir, taranabilir, tam metne bağlantı verilebilir, dizinlenebilir, yazılıma veri olarak aktarılabilir ve her türlü yasal amaç için kullanılabilir biçimde kamuya ücretsiz açık olmasıdır. Bu gibi konularda https://rehberler.kutuphane.itu.edu.tr/ adresinden detaylı bilgi edinebilirsiniz.",,,,,,,,,,,,,,,,,,,,,,,,
49. Ön baskı (preprint) arşivlerine (arXiv gibi) erişim sağlıyor musunuz?,,,,,,,,,,,,,,,,,,,,,,,,,
52. Boş grup çalışma odası var mı?,Kullanılabilir durumda olan (boş) grup çalışma odasının olup olmadığını Mustafa İnan Kütüphanesi Ödünç Verme Bankosu'ndan öğrenebilirsiniz. Oda ödünç almak için Mustafa İnan Kütüphanesi Ödünç Verme Bankosu'ndan destek alabilirsiniz.,,,,,,,,,,,,,,,,,,,,,,,,
54. Kütüphanede bilgisayar kullanabilir miyim?,Kütüphane içindeki bilgisayarlar sadece katalog taraması ve kütüphanenin sahip olduğu elektronik yayınlardan araştırma yapmak için kullanılır. İTÜ kullanıcı hesapları (İTÜ e-posta adresi ve şifresi) ile giriş yapılmaktadır.,,,,,,,,,,,,,,,,,,,,,,,,
55. Bilgisayarlarda hangi programlar yüklü?,https://bidb.itu.edu.tr/hizmetler/lisansli-yazilim-hizmeti adresinde mevcut olan lisanslı programlar.,,,,,,,,,,,,,,,,,,,,,,,,
56. Kütüphanede Wi-Fi şifresi nedir?,"Kablosuz ağın adı  ""Eduroam"" (İTÜ'lüler için), şifresi İTÜ e-posta adresinin şifresi). 
Misafir kullanıcılar için şifreleme olmadan ve sınırlı bir internet erişimi sunan 
kablosuz ağın adı ""ITU-NET Misafir""dir. ITUNET Misafir ağına bağlanabilmek 
için bağlantı işlemi sırasında açılan web sayfasından, kullanıcı giriş 
formunun altında yer alan ""Hesabınız yok mu?"" bağlantısına tıklayıp 
yönergeleri takip ederek hesap oluşturulabilir ve sonrasında internete bağlanılabilir.",,,,,,,,,,,,,,,,,,,,,,,,
57. Yazıcıdan çıktı nasıl alırım?,"Kütüphanede yazıcı hizmeti verilmemekte, çıktı alınamamaktadır. Giriş katta, 
birinci katta ve 
ikinci katta bulunan tarayıcılar ile kopyalanmak istenen sayfalar bir USB belleğe 
kaydedilebilir, e-posta gönderilebilir.",,,,,,,,,,,,,,,,,,,,,,,,
60. Kütüphane içinde yiyecek ve içecek serbest mi?,"Kütüphane içine yiyecek ve içecek getirilmesi, salonlarda sigara içilmesi ve cep telefonu 
kullanılması yasaktır.",,,,,,,,,,,,,,,,,,,,,,,,
61. Kütüphanede bir kafe var mı?,"Kütüphane binası içinde bir kafe bulunmamakta, yiyecek-içecek otomatları bulunmaktadır.",,,,,,,,,,,,,,,,,,,,,,,,
"62. Engelli kullanıcılar için erişim olanakları nelerdir? (Asansör, rampa vb.)",Kütüphanede asansör bulunmaktadır.,,,,,,,,,,,,,,,,,,,,,,,,
63. Kütüphane kat planını gösterebilir misin?,Kütüphane web sayfasında cevabı var. https://kutuphane.itu.edu.tr/hakkimizda/kat-plani,,,,,,,,,,,,,,,,,,,,,,,,
"64. ""Sosyal Bilimler"" bölümü hangi katta?",Giriş kattadır.,,,,,,,,,,,,,,,,,,,,,,,,
65. Kayıp eşya bürosu nerede?,Kayıp eşyalarınız için Kütüphane güvenlik personeline başvurunuz.,,,,,,,,,,,,,,,,,,,,,,,,
66. Kütüphanede priz olan çalışma masaları var mı?,Kütüphanedeki masalarda priz bulunmaktadır.,,,,,,,,,,,,,,,,,,,,,,,,
69. Gece boyunca açık kalan bir çalışma salonu var mı?,Kütüphanenin çalışma salonları -resmî tatiller dışında- 7/24 açıktır.,,,,,,,,,,,,,,,,,,,,,,,,
70. Gürültü seviyesi en düşük olan alan neresi?,"İkinci kattaki karellerin yer aldığı alan, ""çok sessiz"" alandır.",,,,,,,,,,,,,,,,,,,,,,,,
71. Kütüphane oryantasyon eğitimi ne zaman?,"Bilgi Okuryazarlığı eğitimleri kapsamında ""oryantasyon"" eğitimleri de verilmektedir. 
Form doldurularak talepte bulunulabilir. (Form bilgisi Kılavuz'da var)",,,,,,,,,,,,,,,,,,,,,,,,
72. Veritabanı kullanımı üzerine bir atölye çalışması düzenliyor musunuz?,Bilgi Okuryazarlığı Talep Formu'nu doldurarak veritabanı kullanımına yönelik eğitim alabilirsiniz. (https://kutuphane.itu.edu.tr/arastirma/bilgi-okuryazarligi-egitimleri),,,,,,,,,,,,,,,,,,,,,,,,
73. APA stilinde kaynakça nasıl yazılır?,"İTÜ'de kaynak gösterme biçimi olarak APA 6th Ed. kullanılmaktadır. Çok sayıda kaynak gösterme biçimi olmasına rağmen hemen hepsinde aynı bilgiler yer almakta, bilginin sunuş sırası ve düzeni farklı olabilmektedir. İTÜ LEE Tez Yazım Şablonu'nda APA'ya göre hazırlanmış kaynak örnekleri görülebilir.",,,,,,,,,,,,,,,,,,,,,,,,
74. Kütüphane kuralları nelerdir?,"Kütüphaneye giriş ve ödünç verme işlemi, üniversite kimlik kartı ile yapılmaktadır.
 Kütüphane tesislerine ve materyallerine zarar veren kullanıcılar hakkında yasal işlem yapılır. 
Kütüphaneye yiyecek ve içecek ile girilmesi, tütün mamullerinin içilmesi kesinlikle yasaktır. Kullanıcılar yanlarında sadece su bulundurabilir.
Kullanıcılar yanlarında bulunan eşyaları korumakla yükümlüdür. Meydana gelecek çalınma, kaybolma olaylarından kütüphane sorumlu tutulamaz. 
Kullanıcılar kütüphaneye girerken cep telefonlarını sessiz konuma almalı ve bina içerisinde görüşme yapmamalıdır. 
Mustafa İnan Kütüphanesi ve şube kütüphanelerdeki materyaller elektronik güvenlik sistemi ile korunmaktadır. İzin alınmadan kütüphane dışına materyal çıkarılamaz. İzinsiz materyal çıkarmaya teşebbüs edenler hakkında yasal işlem yapılır. 
Kamera, fotoğraf makinesi vb. ile kütüphane içinde izin almadan çekim yapmak yasaktır. 
Kütüphane içinde, ‘Sesli Çalışma Salonu’ dışında grup çalışması yapmak ve sesli olarak çalışmak yasaktır. 
Şube kütüphanelerde kapanış saatine 15 dakika kala kapanış işlemleri ve kapanış uyarıları başlatılır. ",,,,,,,,,,,,,,,,,,,,,,,,
75. Üyelik için ne yapmam gerekiyor?,"İTÜ hesabınızı kullanarak kütüphane üyelik başvurusunda bulunabilirsiniz.

Üyelik Adımları
•        “İTÜ Hesabıyla Kayıt” butonuna tıkladıktan sonra İTÜ Giriş sayfasına yönlendirileceksiniz.
•        İTÜ Giriş sayfasında İTÜ kullanıcı adınız ve parolanız ile giriş yaptığınızda kütüphane kayıt sayfasına yönlendirileceksiniz.
•        Karşınıza çıkan formdaki eksik bilgi girişi alanlarını tamamlayıp, kaydet butonuna tıklayarak kayıt başvurunuzu tamamlamış olacaksınız.
•        Üyelik başvurunuz 3 iş günü içinde değerlendirilerek kütüphane üyeliğiniz başlatılacaktır. 
•        Üyeliğiniz onaylandığında İTÜ e-posta adresinize bir bilgilendirme e-postası ulaşacaktır.
•        Kullanıcı İşlemleri alanına ilk kez girerken, Soyad, Ad ve Öğrenci / Sicil numarasını giriniz ve PIN alanını boş bırakarak yeni PIN oluşturunuz. 
",,,,,,,,,,,,,,,,,,,,,,,,
76. Mezunlar kütüphaneyi kullanabilir mi?,Kılavuzda cevabı var.,,,,,,,,,,,,,,,,,,,,,,,,
77. Misafir veya dışarıdan bir araştırmacı olarak kütüphaneden nasıl faydalanabilirim?,"İTÜ mensubu olmayan diğer üniversitelerin lisansüstü öğrencileri ve akademik personelleri İTÜ Kütüphanelerinden misafir üye olarak istifade edebilirler. Bunun için https://service.library.itu.edu.tr/web/misafir/kayit bu linkten misafir üyelik formunun doldurulması gerekmektedir.  Misafir üyelik talebinizin uygun olduğuna dair bilgilendirme e-postasını aldıktan sonra, aşağıda belirtilen hesap numarasına yıllık üyelik ücretinin yatırılması,
T.Vakıflar Bankası IBAN : TR07 0001 5001 5800 7296 8556 62
Açıklama bölümüne: Adınızı, Soyadınızı ve KÜTÜPHANE ÜYELİK BEDELİ notunu eklemeyi unutmayınız) Vakıfbank ATM'lerinden ödeme yapmak için işlem adımlarını aşağıda görebilirsiniz.
Misafir Üyelik Ücretlerini Ödemek İçin (Vakıfbank ATM) İşlem Adımları;

Hesaba Kartsız Havale (Menüsü kullanılarak)
001 5800 7296 8556 62 (Hesap numarası)
TC Kimlik no girişi
Telefon numarası girişi (İsteğe bağlı)
Hesap numarası ekranı (ONAY VERİLECEK)
Tutar girişi yapılarak işlem onaylanacak
Açıklama girişi (İşlem bitince giriş yapılacak)
Para tutarı yatırılarak işleme ONAY VERİLECEK
İşlem makbuzu alınacak.
EFT işlemi yapacakların açıklama kısmına IBAN numarası yanısıra, alıcı adı olarak İTÜ Strateji Geliştirme Daire Başkanlığı yazmaları gerekiyor.
 

Bir fotoğraf, bir adet T.C. kimlik fotokopisi, kurum kimliği (*) ve yıllık ücret makbuzunun Kütüphane Yönetiminin kontrolünün (Kütüphane Güvenlik Birimine danışın) ardından Kart İşlem Merkezine yardım bileti oluşturarak teslim edilmesi gerekir.
Yardım biletini  üzerinden oluşturabilirsiniz.
Kişisel üyelik kartları kart sahibi tarafından kullanılır. Başkası tarafından kullanılan kartlara el konulur ve üyeliği iptal edilir.
Misafir üyeler sadece kütüphane içindeki hizmetlerden yararlanabilirler.( Ödünç verme, Kampus dışı erişim hizmeti v.b. hizmetlerden yararlanamazlar)
Misafir üyelik başvuruları yalnızca mesai saatleri içinde yapılabilir.
Üyelik başvurulduğu yıl için geçerlidir. 31 Aralık tarihinde üyelik sona erer.
Yıllık Misafir Üyelik Ücreti (1 Ocak - 31 Aralık): 1000 TL (2025 yılı için fiyat değişikliği olmamıştır.)",,,,,,,,,,,,,,,,,,,,,,,,
"78. Kütüphaneye kitap bağışı yapabilir miyim, nasıl yaparım?","İTÜ Kütüphane ve Dokümantasyon Daire Başkanlığı üniversitede yapılan eğitim-öğretimi desteklemek, araştırmalara katkıda bulunmak ve kullanıcıların kültürel gereksinimleri doğrultusunda kütüphane koleksiyonunu geliştirmek amacı ile bağış yayın kabul etmektedir.

Bağış yapmak isteyen kişi ve kurumların, bağışlayacakları yayınların bilgilerini içeren listeyi önceden Daire Başkanlığı’na iletmesi gerekir.

Bağışlanacak koleksiyondaki el yazması ve nadir basma eser niteliği dışında kalanlardan, güncelliğini yitirmiş olanlar bağış olarak kabul edilmez. 

Koleksiyon Geliştirme Bölümü tarafından kütüphane koleksiyonu için uygun olduğuna karar verilen yayınlar teknik işlemleri yapılarak koleksiyona eklenir. Bağış yapan kişi veya kuruma İTÜ adına teşekkür mektubu gönderilir. 

Bağış yapılan yayın, kütüphane koleksiyonunda (rezerv yayınlar hariç) mevcutsa kabul edilmez. 

Daire Başkanlığı bağış yapılan yayınları hangi bölümde ve hangi kurallar doğrultusunda kullanıcılara sunacağı konusunda karar verme hakkına sahiptir.

Süreli yayınların bağış olarak kabul edilebilmesi için koleksiyonun başlangıcı ya da devamının kütüphanede bulunması gerekir. 

Dergi, ansiklopedi vb. çok ciltli eserler cilt bütünlüğü oluşturuyorsa kabul edilir. 

Daire Başkanlığı özel ya da tüzel kişilere, koleksiyon bağışı yapması için başvurabilir. 

Daire Başkanlığı uygun gördüğü takdirde bağış olarak kabul ettiği yayınları iade etme veya başka bir kütüphaneye bağışlama hakkına sahiptir. 

Fotokopi yayınlar, fiziksel açıdan kötü durumdaki yayınlar ve devamlılığı sağlanamayan süreli yayınlar bağış olarak kabul edilmemektedir. ",,,,,,,,,,,,,,,,,,,,,,,,
79. Kütüphane koleksiyonu için kitap satın almayı nasıl önerebilirim?,Kılavuzda cevabı var.,,,,,,,,,,,,,,,,,,,,,,,,
"80. Yaklaşan kütüphane etkinlikleri (söyleşi, sergi vb.) var mı?",İTÜ Kütüphaneleri tarafından düzenlenen etkinlikleri kütüphanenin anasayfasından takip edebilirsiniz: https://kutuphane.itu.edu.tr/,,,,,,,,,,,,,,,,,,,,,,,,
81. Geri bildirim veya şikayette nasıl bulunabilirim?,Kılavuzda cevabı var.,,,,,,,,,,,,,,,,,,,,,,,,
82. Telif hakları ve akademik kullanım hakkında bilgi verir misin?,"Size bu konuda yardımcı olmak çok isterdim ancak maalesef böyle bir yeteneğim yok, kusura bakmayın.  İTÜ Kütüphaneleri'nde, Mustafa İnan Kütüphanesi Giriş Katı’ndaki Danışma Masası’nda ve Şube Kütüphanelerinde görev yapan danışma kütüphanecileri bulunmaktadır. Benim bilgi ve yeteneklerimin dışında kalan soruları danışma kütüphanecilerine sorabilirsiniz. Kampüs dışındaysanız İTÜ Kütüphane Anasayfasından canlı destek hizmetine bağlanabilirsiniz.",,,,,,,,,,,,,,,,,,,,,,,,
84. Mobil uygulamanız var mı?,Mobil uygulamamız yoktur.,,,,,,,,,,,,,,,,,,,,,,,,
85. Kütüphane haber bültenine nasıl abone olabilirim?,Kütüphane duyurularını web sayfasından takip edebilir ya da kurumsal listelerden (Akademik-Tümokul-Öğrenci) gelen e-postaları takip edebilirsiniz.,,,,,,,,,,,,,,,,,,,,,,,,
86. Aramaları anlamsal olarak mı yoksa anahtar kelime bazlı mı yapıyorsun?," aramalarımı temelde anahtar kelime bazlı ve kontrollü başlıklar üzerinden yapıyorum. Bu durum, İTÜ Kütüphaneleri'nin web sayfasında yer alan ve kütüphane kaynaklarını taramanızı sağlayan ""Kütüphane Katalog Tarama"" ve ""Tarıyorum"" alanlarının çalışma prensiplerine benzerdir.
İşte bu tarama yöntemlerinin detayları:
• Anahtar Kelime Bazlı Tarama:
    ◦ Yazar Adı Taraması: Aradığınız yazarın soyadını arama kutucuğuna yazarak yapılır. Mümkün oldukça yazar adının tam olarak yazılması, aranan sonuca daha çok yaklaştırır.
    ◦ Eser Adı Taraması: Aranan kaynağın adını tam olarak girerek tarama yapılır.
    ◦ Gelişmiş Tarama: Bu tarama türünde anahtar sözcük, başlık, yazar gibi alanlar kullanılarak arama sonuçları materyal türü, yayının bulunduğu yer, dili, yılı gibi çeşitli kriterlere göre daraltılabilir.
• Kontrollü Başlıklar / Konu Taraması:
    ◦ Konu Taraması: Arama alanı olarak ""konu"" seçildikten sonra, konu başlığı girilerek yapılır. Bu konu başlıkları, Kütüphane’nin Kataloglama ve Teknik Hizmetler Bölümü tarafından belirlenmiş standart (kontrollü) başlıklardır. Burada önemli olan, konuyu en iyi tanımlayan başlığın seçilmesidir. Eğer aradığınız konu ile ilgili çok fazla sayıda yayına ulaşırsanız, konuyu tam olarak ifade edecek, daraltıp sınırlayacak başlıklar belirlemeniz önerilir.
• Boolean İşleçleri (Mantıksal Operatörler):
    ◦ Gelişmiş Tarama sırasında, birden fazla tarama alanını AND, OR ve NOT işleçleri ile birleştirerek daha karmaşık aramalar yapabilirsiniz. Bu Boolean işleçleri, kullandığınız anahtar sözcüklerinin kapsamı dışında sınırlama yapmanıza olanak sağlar. Örneğin:
        ▪ A AND B: İçinde A ve B sözcüklerinin ikisinin de bulunduğu sonuçları içerir.
        ▪ A OR B: İçinde A sözcüğünün veya B sözcüğünün geçtiği sonuçları içerir.
        ▪ A NOT B: İçinde B sözcüğünün geçmediği, ancak A sözcüğünün geçtiği sonuçları içerir.
Bu bilgiler ışığında, benim aramalarım belirli anahtar kelimeler, tam başlıklar, yazarlar ve kütüphanenin tanımladığı standart konu başlıkları üzerinden, mantıksal operatörlerle desteklenerek gerçekleştirilmektedir. Doğrudan anlamsal bir ""anlama"" yeteneğim olmayıp, bu belirlenmiş ve kurallı arama yöntemleri ile size en uygun sonuçları getirmeye çalışırım.",,,,,,,,,,,,,,,,,,,,,,,,
"87. ""Makine öğrenmesi"" ile ""veri madenciliği"" arasındaki farkı açıklayan temel bir kaynak önerebilir misin?","İTÜ Kütüphaneleri'nin web sayfasında yer alan ""Kütüphane Katalog Tarama"" veya ""Tarıyorum"" alanını kullanarak veya istediğiniz anahtar kelimelerle arama yapabilirsiniz. Bu sayede, kütüphane koleksiyonunda bulunan kitaplar, tezler, süreli yayınlar gibi farklı türdeki bilgi kaynaklarının bibliyografik künyelerine, içerik bilgilerine ve yer numaralarına ve de kütüphanemizin erişim sağladığı elektronik kaynaklara ulaşabilirsiniz. Konu taramasında çok fazla yayına ulaşırsanız, aradığınız konuyu tam olarak ifade edecek, konuyu daraltıp sınırlayacak başlıklar belirleyerek araştırmanızı sürdürmeniz önerilir.",,,,,,,,,,,,,,,,,,,,,,,,
88. Sci-Hub yasal mı? Neden kullanmamalıyım?,"Size bu konuda yardımcı olmak çok isterdim ancak maalesef bu konuda bilgi sahibi değilim, kusura bakmayın.  İTÜ Kütüphaneleri'nde, Mustafa İnan Kütüphanesi Giriş Katı’ndaki Danışma Masası’nda ve Şube Kütüphanelerinde görev yapan referans kütüphanecileri bulunmaktadır. Benim bilgi ve yeteneklerimin dışında kalan soruları referans kütüphanecilerine sorabilirsiniz. Kampüs dışındaysanız İTÜ Kütüphane anasayfasından canlı destek hizmetine bağlanabilirsiniz.",,,,,,,,,,,,,,,,,,,,,,,,
